Number,Museum,Genus,Species,Sex,Prep,Country,Locality1,Isl_Main,GSL_24,ROST.LEN_26,LACR.W_30,POSTORB.W_32,MASTOID_34,C1.C1_37,M3.M3_38,GLENO.L_44,MAX.TOOTH_h,DEN.L_46,LOW.TR_49,MOM1.COR_52,MOM2.ANG_53,DEN.TH_57,CON.L_60,MASS.MUSC_c,lat,lon,bio15,bio16,bio17,bio4,bio5,bio6,bioalt
619,MNCN,Lasiurus,cinereus,F,Recent,USA,New York,Main,16.77,6.32,9.14,5.34,10.07,4.78,5.15,2.22,5.05,13.31,7.09,3.95,2.94,2.01,1.73,4.34,41.67268705,-73.93154225,13.47378787,322,231,951.2204082,28.29999924,10.30000019,57
258284,AMNH,Lasiurus,cinereus,F,Recent,USA,Pennsylvania,Main,16.51,6.95,8.79,5.25,10.29,4.52,5.28,2.1,5.25,12.8,6.8,4.29,3.22,1.97,1.93,4.28,41.881002,-78.179243,20.61854782,328,201,917.1716259,23.10000038,13.19999981,732
258285,AMNH,Lasiurus,cinereus,M,Recent,USA,Pennsylvania,Main,16.26,6.49,8.49,5.65,10.01,4.62,5.11,2.01,5.09,12.36,6.69,3.76,3.06,2,1.79,4.03,41.881002,-78.179243,20.61854782,328,201,917.1716259,23.10000038,13.19999981,732
218756,USNM,Lasiurus,cinereus,NA,Recent,USA,Virginia,Main,16.37,6.43,8.07,5.24,9.92,4.24,5.3,1.76,4.92,12.93,6.88,3.44,2.94,1.33,1.78,4.1,38.88697127,-77.10764167,11.07257589,293,230,874.5947125,30.39999962,5,86
448255,USNM,Lasiurus,cinereus,F,Recent,USA,Virginia,Main,16.84,6.52,8.35,5.28,10.56,4.63,5.59,1.97,4.89,13.01,6.26,3.98,2.89,1.96,1.78,4.19,36.62017972,-76.52394198,17.33894586,382,264,782.4533852,32.09999847,1.299999952,20
123816,USNM,Lasiurus,cinereus,M,Recent,USA,Washington DC,Main,16.12,6.18,8.68,5.09,9.93,4.27,5.07,1.8,4.57,12.79,6.57,3.64,2.55,1.7,1.68,4.11,38.93031819,-77.11535585,11.50576474,290,226,879.8915202,30.70000076,5,24
200373,USNM,Lasiurus,cinereus,F,Recent,USA,Washington DC,Main,16.84,6.8,8.44,5.48,10.51,4.51,5.41,1.92,5.04,12.97,6.44,3.9,2.93,1.8,1.87,4.15,38.93031819,-77.11535585,11.50576474,290,226,879.8915202,30.70000076,5,24
2441481,ROM,Lasiurus,cinereus,F,Recent,Canada,Alberta,Main,17.04,6.56,8.76,5.13,10.18,4.19,4.92,1.87,5.04,13.16,7.33,4.09,3.38,2.2,1.81,4.32,51.05,-114.0833333,75.68923126,214,32,959.68853,23.5,15.69999981,1047
29536,ROM,Lasiurus,cinereus,F,Recent,Canada,British Columbia,Main,16.84,6.83,9.21,5.22,10.53,4.44,5.04,1.86,5.33,13.41,7.46,3.84,3.18,1.96,1.91,4.27,50.28333333,-119.3166667,20.32760935,152,91,864.0983166,22.5,11.10000038,706
29537,ROM,Lasiurus,cinereus,M,Recent,Canada,British Columbia,Main,16.75,6.81,9.02,5.28,10.35,4.44,5.22,1.95,5.34,13.44,7.32,3.9,3.09,2.2,1.83,4.48,50.28333333,-119.3166667,20.32760935,152,91,864.0983166,22.5,11.10000038,706
