"Number","Museum","Genus","Species","Ssp","Sex","Prep","Country","Locality1","Isl_Main","GSL_24","ROST.LEN_26","LACR.W_30","POSTORB.W_32","MASTOID_34","C1.C1_37","M3.M3_38","GLENO.L_44","MAX.TOOTH_h","DEN.L_46","LOW.TR_49","MOM1.COR_52","MOM2.ANG_53","DEN.TH_57","CON.L_60","MASS.MUSC_c","Country1","lat","lon","bio4","bio5","bio6","bio15","bio16","bio17","bioalt"
27327,"AMNH","Lasiurus","cinereus","cinereus",NA,"Recent","Mexico","Jalisco","Main",16.09,6.39,8.62,5.46,9.91,4.28,5.1,1.92,4.85,12.84,6.6,3.77,3.02,2.07,1.77,4.31,"Mexico",20.659538,-103.349438,257.17287431096,31.2000007629395,9.60000038146973,117.425493451121,646,15,1546
92950,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Jalisco","Main",16.13,6.03,8.4,5.37,9.59,4.34,5.23,1.76,5.02,12.89,6.26,3.72,2.79,1.55,1.64,4.05,"Mexico",20.2718462,-104.7135062,233.651428974571,25.7999992370605,6.90000009536743,110.918842003289,858,23,1622
98735,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Jalisco","Main",16.41,6.28,8.59,5.31,10.06,4.33,5.27,1.79,4.86,12.86,6.27,3.65,2.63,1.88,1.53,4.12,"Mexico",20.1622879,-104.6912567,183.630785308427,20.5,6.19999980926514,109.882700911064,974,27,2443
98736,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Jalisco","Main",16.74,5.98,8.59,5.26,10.48,4.96,5.52,1.87,5,13.29,6.45,3.88,2.9,1.45,1.78,4.46,"Mexico",20.1622879,-104.6912567,183.630785308427,20.5,6.19999980926514,109.882700911064,974,27,2443
98737,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Jalisco","Main",16.31,6.12,8.35,5.11,10.3,4.28,5.17,1.96,4.95,12.56,6.2,3.72,3.03,1.55,1.8,4.42,"Mexico",20.1622879,-104.6912567,183.630785308427,20.5,6.19999980926514,109.882700911064,974,27,2443
100398,"KU","Lasiurus","cinereus","cinereus","F","Recent","Mexico","Jalisco","Main",17.06,6.3,8.6,5.43,10.74,4.37,5.16,1.91,5.17,13.49,6.5,3.87,2.86,1.48,1.73,4.56,"Mexico",20.5047011,-104.7658111,247.765769518914,30.7999992370605,7,111.674699640371,754,23,1244
508889,"USNM","Lasiurus","cinereus","cinereus","F","Recent","Mexico","Nayarit","Main",16,6.52,8.24,5.42,9.96,4.26,5.05,1.94,4.77,12.37,6.63,3.64,3.01,2.1,1.73,4.07,"Mexico",21.27785606,-104.4749976,243.206165325428,31.5,9.19999980926514,118.403036543948,735,17,1389
508890,"USNM","Lasiurus","cinereus","cinereus","F","Recent","Mexico","Nayarit","Main",17.38,7.12,9.04,4.95,10.15,4.7,5.69,2.01,4.49,13.83,7.23,3.67,3.22,2.05,2.06,4.66,"Mexico",21.27785606,-104.4749976,243.206165325428,31.5,9.19999980926514,118.403036543948,735,17,1389
98486,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Nuevo Leon","Main",17,6.37,8.61,5.34,10.08,4.29,5.1,1.89,4.74,12.6,6.25,3.83,2.92,1.83,1.64,4.3,"Mexico",24.2698348,-99.8910556,291.943586793179,29,3.29999995231628,55.6494559828777,166,42,2013
98487,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Nuevo Leon","Main",16.96,6,8.33,5.39,9.55,4.21,4.66,1.85,4.77,12.54,6.15,3.85,3.15,1.96,1.62,4.16,"Mexico",24.07394,-99.96028,278.411351392084,27.8999996185303,3.40000009536743,56.9945859230953,164,42,2160
